value,label
boxing gym,Boxing Gym
boxing ring,Boxing Ring
bpo company,Bpo Company
brake shop,Brake Shop
branding agency,Branding Agency
brazilian pastelaria,Brazilian Pastelaria
brazilian restaurant,Brazilian Restaurant
breakfast restaurant,Breakfast Restaurant
brick manufacturer,Brick Manufacturer
bridal shop,Bridal Shop
bridge club,Bridge Club
british restaurant,British Restaurant
brunch restaurant,Brunch Restaurant
buddhist temple,Buddhist Temple
buffet restaurant,Buffet Restaurant
bugatti dealer,Bugatti Dealer
buick dealer,Buick Dealer
building consultant,Building Consultant
building designer,Building Designer
building firm,Building Firm
building inspector,Building Inspector
building society,Building Society
building surveyor,Building Surveyor
bulgarian restaurant,Bulgarian Restaurant
burmese restaurant,Burmese Restaurant
burrito restaurant,Burrito Restaurant
bus charter,Bus Charter
bus company,Bus Company
bus depot,Bus Depot
business broker,Business Broker
business center,Business Center
business park,Business Park
business school,Business School
butcher shop,Butcher Shop
butsudan store,Butsudan Store
cabaret club,Cabaret Club
cabinet maker,Cabinet Maker
cabinet store,Cabinet Store
cable company,Cable Company
cadillac dealer,Cadillac Dealer
cajun restaurant,Cajun Restaurant
cake shop,Cake Shop
californian restaurant,Californian Restaurant
call center,Call Center
call shop,Call Shop
calligraphy lesson,Calligraphy Lesson
cambodian restaurant,Cambodian Restaurant
camera store,Camera Store
camping cabin,Camping Cabin
camping farm,Camping Farm
camping store,Camping Store
canadian restaurant,Canadian Restaurant
candle store,Candle Store
candy store,Candy Store
cannabis club,Cannabis Club
cannabis store,Cannabis Store
canoeing area,Canoeing Area
cantabrian restaurant,Cantabrian Restaurant
cantonese restaurant,Cantonese Restaurant
capoeira school,Capoeira School
capsule hotel,Capsule Hotel
car dealer,Car Dealer
car factory,Car Factory
car manufacturer,Car Manufacturer
car repair,Car Repair
car service,Car Service
car wash,Car Wash
carabinieri police,Carabinieri Police
caribbean restaurant,Caribbean Restaurant
carnival club,Carnival Club
carpet installer,Carpet Installer
carpet manufacturer,Carpet Manufacturer
carpet store,Carpet Store
carpet wholesaler,Carpet Wholesaler
carvery restaurant,Carvery Restaurant
casket service,Casket Service
castilian restaurant,Castilian Restaurant
cat breeder,Cat Breeder
cat cafe,Cat Cafe
cat trainer,Cat Trainer
