,ID,NAMA,KOORDINAT,ALAMAT,RATING,JML_RATING,TAG_GOOGLE,KELURAHAN,KECAMATAN,KOTA,PROVINSI,TIPE,IDCARI,DATA_UPDATE
245,246,Kantor redaksi Gedangsari.com,"-7.8295855, 110.6200356","RT 01 RW 06 Dusun, Jl. Krinjing",4.5,14,Kantor Perusahaan,NGALANG,GEDANGSARI,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,46533,2024-05-29 09:03:59
246,247,Kantor Desa Purwodadi,"-8.1526576, 110.6822342",Jl. Pantai Sel. Jawa No.16,4.3,4,Kantor Hubungan Masyarakat,PURWODADI,TEPUS,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,47295,2024-05-29 09:04:06
247,248,"Ngande-ande, Purwodadi, Tepus","-8.1484115, 110.6920836",VM2R+JRP,4.8,18,Pekerja Sosial,PURWODADI,TEPUS,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,47295,2024-05-29 09:04:06
248,249,SatuLoket.com,"-7.7703372, 110.3043473",Jl. Godean No.Km. 9,5.0,3,Kantor Perusahaan,SIDOMULYO,GODEAN,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,company registry,47823,2024-05-29 09:04:09
249,250,Kantor Kapanewon Ponjong,"-7.9799809, 110.7178498","2PC9+245, Jl. Wonosari - Ponjong",4.3,11,Kantor Pemerintah Distrik,PONJONG,PONJONG,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,48051,2024-05-29 09:04:12
250,251,Resvara Jogja,"-7.7714748, 110.3613687",Jl. Magelang No.188,5.0,22,Perusahaan BPO,TEGALREJO,TEGALREJO,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,48611,2024-05-29 09:04:19
251,252,Dinas Kependudukan Dan Pencatatan Sipil Kabupaten Kulon Progo,"-7.8560132, 110.1646445","45V7+HVR, Jl. Sugiman",3.8,164,Kantor Catatan Sipil,PENGASIH,PENGASIH,KAB. KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA,company registry,49928,2024-05-29 09:04:53
252,253,TIKI Karangmojo,"-7.9470319, 110.6631998",Jl ngawis -munggur km 500m RT.4/2 Ngawis 2,5.0,2,Jasa Pengiriman,NGAWIS,KARANGMOJO,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,50146,2024-05-29 09:04:58
253,254,Kantor Farm,"-7.951417, 110.662287","2MX6+CWM, Jl. Karangmojo - Wonosari",4.0,1,Kantor Perusahaan,NGAWIS,KARANGMOJO,KAB. GUNUNGKIDUL,DAERAH ISTIMEWA YOGYAKARTA,company registry,50146,2024-05-29 09:04:58
254,255,Kantor Berita Antara Biro Yogyakarta,"-7.8129548, 110.3767945","Ktr. Berita Antara, Jl. Taman Siswa No.123",4.7,15,Perusahaan Media,KEPARAKAN,MERGANGSAN,KOTA YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA,company registry,50835,2024-05-29 09:05:02
