ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
54654,SUMATERA UTARA,KAB. MANDAILING NATAL,TAMBANGAN,ANGIN BARAT,22963,
54655,GORONTALO,KAB. GORONTALO,TILANGO,ILOTIDEA,96282,
54656,JAWA TENGAH,KAB. BOYOLALI,BANYUDONO,SAMBON,57373,
54657,SULAWESI SELATAN,KAB. BONE,LIBURENG,TOMPO BULU,92766,
54658,KALIMANTAN TENGAH,KAB. MURUNG RAYA,UUT MURUNG,TUMBANG OLONG II,73993,
54659,NUSA TENGGARA TIMUR,KAB. NAGEKEO,NANGARORO,TONGGO,86964,
54660,JAWA TIMUR,KAB. PAMEKASAN,PASEAN,DEMPO BARAT,69356,
54661,SULAWESI BARAT,KAB. POLEWALI MANDAR,BULO,PULLIWA,91346,
54662,ACEH,KAB. PIDIE JAYA,ULIM,KEUDE ULIM,24187,
54663,JAWA TIMUR,KAB. PASURUAN,BANGIL,MASANGAN,67153,
54664,JAWA TENGAH,KAB. SRAGEN,KALIJAMBE,KEDEN,57275,
54665,KALIMANTAN UTARA,KAB. NUNUKAN,SEMBAKUNG ATULAI,-,-,
54666,SUMATERA UTARA,KAB. PADANG LAWAS,AEK NABARA BARUMUN,PARAN TONGA,22796,
54667,ACEH,KAB. ACEH BARAT,WOYLA TIMUR,RAMBONG PINTO,23684,
54668,JAWA BARAT,KAB. BANDUNG BARAT,GUNUNGHALU,SIRNAJAYA,40765,
54669,RIAU,KAB. BENGKALIS,BUKIT BATU,BUKIT BATU,28761,
54670,KEPULAUAN RIAU,KAB. KARIMUN,KARIMUN,TANJUNGBALAI KOTA,29611,
54671,RIAU,KAB. KUANTAN SINGINGI,KUANTAN HILIR SEBERANG,PULAUKULUR,29557,
54672,PAPUA SELATAN,KAB. BOVEN DIGOEL,MANDOBO,PERSATUAN,99663,
54673,SUMATERA SELATAN,KAB. MUSI BANYUASIN,BATANG HARI LEKO,PENGATURAN,30763,
54674,PAPUA,KAB. WAROPEN,INGGERUS,HARAPAN JAYA,98267,
54675,ACEH,KAB. BENER MERIAH,BUKIT,TINGKEM BENYER,24581,
54676,SUMATERA UTARA,KAB. KARO,TIGANDERKET,TEMBURUN,22154,
54677,JAWA TENGAH,KAB. TEGAL,JATINEGARA,MOKAHA,52473,
54678,MALUKU UTARA,KAB. HALMAHERA TIMUR,MABA,BULI KARYA,97861,
54679,RIAU,KAB. KAMPAR,TAPUNG HULU,RIMBA MAKMUR,28465,
54680,JAWA BARAT,KAB. CIREBON,ASTANAJAPURA,ASTANAJAPURA,45681,
54681,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,TERARA,SELAGIK,83663,
54682,RIAU,KAB. SIAK,BUNGA RAYA,JATI BARU,28663,
54683,SULAWESI SELATAN,KAB. TORAJA UTARA,RANTEPAO,PASALE,91831,
54684,JAWA TIMUR,KAB. JEMBER,KALISAT,SUMBERJERUK,68193,
54685,JAWA BARAT,KAB. BOGOR,JASINGA,KOLEANG,16672,
54686,PAPUA TENGAH,KAB. PUNCAK,AMUNGKALPIA,-,-,
54687,PAPUA TENGAH,KAB. PUNCAK JAYA,FAWI,EVO,98976,
54688,JAWA BARAT,KAB. CIANJUR,SUKALUYU,HEGARMANAH,43284,
54689,MALUKU,KAB. KEPULAUAN TANIMBAR,TANIMBAR SELATAN,BOMAKI,97465,
54690,JAWA TENGAH,KAB. PEKALONGAN,KARANGDADAP,KALIGAWE,51174,
54691,ACEH,KAB. ACEH BARAT,SUNGAI MAS,SIPOT,23683,
54692,KALIMANTAN BARAT,KAB. SANGGAU,PARINDU,PUSAT DAMAI,78561,
54693,JAWA TIMUR,KAB. BLITAR,NGLEGOK,KEDAWUNG,66181,
54694,BENGKULU,KAB. REJANG LEBONG,BERMANI ULU,KAMPUNG SAJAD,39152,
54695,JAWA TIMUR,KAB. BOJONEGORO,TAMBAKREJO,GADING,62166,
54696,JAWA TIMUR,KAB. SUMENEP,MANDING,MANDING DAYA,69452,
54697,NUSA TENGGARA TIMUR,KAB. KUPANG,KUPANG BARAT,BATAKTE,85351,
54698,KALIMANTAN TENGAH,KAB. KATINGAN,MENDAWAI,MEKAR TANI,74464,
54699,JAWA BARAT,KAB. GARUT,LEUWIGOONG,DUNGUSIKU,44192,
54700,BANTEN,KAB. PANDEGLANG,SAKETI,MAJAU,42273,
54701,JAWA BARAT,KAB. KARAWANG,CILEBAR,KOSAMBIBATU,41387,
54702,ACEH,KAB. PIDIE,KEMBANG TANJONG,KAMPONG ASAN,24182,
54703,SULAWESI SELATAN,KAB. GOWA,MANUJU,MONCONGLOE,92162,
54704,DAERAH ISTIMEWA YOGYAKARTA,KAB. BANTUL,PLERET,PLERET,55791,
54705,JAWA TENGAH,KOTA SALATIGA,TINGKIR,KUTOWINANGUN LOR,50742,
54706,KALIMANTAN BARAT,KAB. LANDAK,MEMPAWAH HULU,ANSOLOK,78363,
54707,SULAWESI SELATAN,KAB. LUWU,WALENRANG,BULO,91951,
54708,JAWA TENGAH,KAB. PEMALANG,BODEH,KESESIREJO,52365,
54709,JAWA TENGAH,KAB. BANJARNEGARA,PANDANARUM,PINGIT LOR,53464,
54710,PAPUA SELATAN,KAB. MERAUKE,KURIK,KURIK,99656,
54711,SUMATERA SELATAN,KAB. MUARA ENIM,BELIMBING,BELIMBING,31353,
54712,SUMATERA UTARA,KAB. BATU BARA,SEI BALAI,PERKEBUNAN SEI BEJANGKAR,21652,
54713,GORONTALO,KAB. BONE BOLANGO,BULANGO TIMUR,BULOTALANGI TIMUR,96563,
54714,JAWA TIMUR,KAB. BLITAR,SUTOJAYAN,KEDUNGBUNDER,66172,
54715,KALIMANTAN BARAT,KAB. KAPUAS HULU,BIKA,NANGA MANDAY,78751,
