ID,PROVINCE,CITY,DISTRICT,WARD,POSTAL_CODE,DATA_UPDATE
1068,JAWA BARAT,KAB. CIAMIS,CISAGA,SIDAMULYA,46291,
1069,SULAWESI SELATAN,KAB. LUWU,PONRANG SELATAN,BASSIANG,91945,
1070,MALUKU UTARA,KAB. HALMAHERA UTARA,LOLODA KEPULAUAN,JIKOLAMO,97749,
1071,SUMATERA SELATAN,KAB. MUSI BANYUASIN,BAYUNG LENCIR,PULAI GADING,30756,
1072,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,NARMADA,DASAN TERENG,83371,
1073,SUMATERA SELATAN,KAB. MUSI RAWAS,MUARA BELITI,TANAH PERIUK,31661,
1074,JAWA BARAT,KAB. BANDUNG BARAT,RONGGA,SUKAMANAH,40766,
1075,NUSA TENGGARA TIMUR,KAB. NGADA,RIUNG BARAT,LANAMAI I,86473,
1076,KALIMANTAN SELATAN,KAB. BARITO KUALA,ALALAK,TATAH MESJID,70582,
1077,JAWA BARAT,KAB. TASIKMALAYA,CULAMEGA,CIKUYA,46488,
1078,ACEH,KAB. ACEH BARAT DAYA,BABAH ROT,GUNUNG SAMARINDA,23767,
1079,SUMATERA BARAT,KOTA PADANG,KURANJI,AMPANG,25154,
1080,JAWA BARAT,KOTA BEKASI,RAWALUMBU,SEPANJANGJAYA,17174,
1081,SULAWESI TENGAH,KAB. BUOL,BOKAT,TANG,94566,
1082,SULAWESI UTARA,KAB. MINAHASA SELATAN,MOTOLING TIMUR,WANGA,95966,
1083,SUMATERA UTARA,KAB. TOBA,LAGUBOTI,SIRAJA GORAT,22381,
1084,JAWA BARAT,KAB. MAJALENGKA,ARGAPURA,HAURSEAH,45462,
1085,JAWA TIMUR,KAB. TUBAN,SINGGAHAN,MULYOREJO,62361,
1086,JAWA TENGAH,KAB. TEMANGGUNG,BULU,TEGALREJO,56253,
1087,KALIMANTAN UTARA,KAB. MALINAU,PUJUNGAN,LONG ARAN,77562,
1088,SULAWESI TENGGARA,KAB. KONAWE SELATAN,BUKE,RANOOHA LESTARI,93884,
1089,NUSA TENGGARA BARAT,KAB. SUMBAWA BARAT,TALIWANG,LALAR LIANG,84419,
1090,JAWA TENGAH,KAB. PATI,MARGOREJO,PEGANDAN,59163,
1091,BENGKULU,KOTA BENGKULU,SUNGAI SERUT,SEMARANG,38136,
1092,SUMATERA UTARA,KAB. PAKPAK BHARAT,SALAK,SALAK II,22272,
1093,SUMATERA SELATAN,KAB. EMPAT LAWANG,PENDOPO BARAT,MUARALINTANG LAMA,31896,
1094,JAWA TENGAH,KAB. DEMAK,BONANG,KRAJANBOGO,59552,
1095,SUMATERA UTARA,KAB. BATU BARA,MEDANG DERAS,PANGKALAN DODEK,21658,
1096,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,BELITANG MADANG RAYA,TUGU HARUM,32363,
1097,SULAWESI BARAT,KAB. PASANGKAYU,PEDONGGA,MARTASARI,91577,
1098,ACEH,KOTA SUBULUSSALAM,SULTAN DAULAT,SIGRUN,24883,
1099,PAPUA,KAB. MAMBERAMO RAYA,RUFAER,SIKARI,99383,
1100,SULAWESI TENGAH,KAB. TOJO UNA UNA,TOJO BARAT,TANAMAWAU,94685,
1101,NUSA TENGGARA TIMUR,KAB. ENDE,NANGAPANDA,ONDOREA,86352,
1102,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,HOLUON,SOHONGGIK,99076,
1103,NUSA TENGGARA TIMUR,KAB. ROTE NDAO,LANDU LEKO,BOLATENA,85975,
1104,JAWA TENGAH,KAB. KLATEN,CEPER,MLESE,57465,
1105,SULAWESI TENGAH,KAB. DONGGALA,TANANTOVEA,NUPA BOMBA,94344,
1106,ACEH,KAB. ACEH BARAT,PANTE CEUREUMEN,ALUE KEUMANG,23688,
1107,ACEH,KAB. BENER MERIAH,PERMATA,TEMAS MUMANANG,24583,
1108,JAWA TENGAH,KAB. GROBOGAN,GODONG,HARJOWINANGUN,58162,
1109,ACEH,KAB. ACEH BESAR,SUKAMAKMUR,LAMBARIH JURONG RAYA,23361,
1110,KALIMANTAN BARAT,KAB. SINTANG,DEDAI,PENGKADAN BARU,78691,
1111,JAWA TENGAH,KAB. SUKOHARJO,BULU,KEDUNGSONO,57563,
1112,KALIMANTAN BARAT,KAB. MELAWI,MENUKUNG,NANGA ELLA HULU,78682,
1113,JAWA TENGAH,KAB. DEMAK,GAJAH,TANJUNGANYAR,59581,
1114,KALIMANTAN SELATAN,KAB. TANAH LAUT,TAKISUNG,RANGGANG DALAM,70861,
1115,SUMATERA SELATAN,KAB. OGAN KOMERING ILIR,PANGKALAN LAMPAM,AIR PEDARA,30653,
1116,JAWA TENGAH,KAB. PATI,TRANGKIL,KETANEN,59153,
1117,KALIMANTAN TENGAH,KAB. GUNUNG MAS,TEWAH,RANGAN MIHING,74552,
1118,NUSA TENGGARA TIMUR,KAB. BELU,LAMAKNEN,FULUR,85733,
1119,KALIMANTAN BARAT,KAB. KETAPANG,SIMPANG DUA,SEMANDANG KANAN,78879,
1120,JAWA BARAT,KAB. SUMEDANG,TANJUNGMEDAR,TANJUNG MEDAR,45355,
1121,JAWA TIMUR,KAB. PROBOLINGGO,TIRIS,TULUPARARI,67287,
1122,SUMATERA UTARA,KAB. LABUHANBATU,PANAI HILIR,SEI SAKAT,21473,
1123,ACEH,KAB. ACEH BARAT,WOYLA BARAT,PASI MALI,23685,
1124,ACEH,KAB. ACEH BESAR,MONTASIK,WARABO,23362,
1125,JAWA TIMUR,KAB. BLITAR,WONODADI,REJOSARI,66155,
1126,NUSA TENGGARA TIMUR,KAB. TIMOR TENGAH UTARA,MUSI,OEOLO,85641,
1127,ACEH,KAB. BENER MERIAH,BUKIT,BLANG PANAS,24581,
1128,PAPUA TENGAH,KAB. DOGIYAI,DOGIYAI,BOBOBUTU,98866,
1129,ACEH,KAB. ACEH UTARA,KUTA MAKMUR,SEUNEUBOK DRIEN,24371,
1130,MALUKU,KAB. SERAM BAGIAN BARAT,KAIRATU,SERUAWAN,97566,
1131,JAWA TENGAH,KAB. BLORA,BLORA,PATALAN,58219,
1132,SUMATERA SELATAN,KOTA PRABUMULIH,PRABUMULIH BARAT,GUNUNG KEMALA,31128,
1133,JAWA TENGAH,KAB. TEMANGGUNG,KRANGGAN,BENGKAL,56271,
1134,JAWA TENGAH,KAB. SRAGEN,SRAGEN,SRAGEN WETAN,57214,
1135,BENGKULU,KAB. SELUMA,LUBUK SANDI,PADANG CAPO ILIR,38882,
1136,ACEH,KAB. ACEH TIMUR,IDI RAYEUK,ALUE DUA MUKA S,24454,
1137,RIAU,KAB. SIAK,SUNGAI APIT,MENGKAPAN,28662,
1138,ACEH,KAB. PIDIE,SIMPANG TIGA,MESJID GIGIENG,24181,
1139,JAWA TIMUR,KAB. BANGKALAN,KOKOP,DUPOK,69155,
1140,SULAWESI SELATAN,KOTA PALOPO,WARA TIMUR,PONJALAE,91912,
1141,JAWA BARAT,KAB. TASIKMALAYA,TARAJU,PAGERALAM,46474,
1142,PAPUA PEGUNUNGAN,KAB. TOLIKARA,YUKO,TABUH,99459,
1143,JAWA TENGAH,KAB. KARANGANYAR,JATIYOSO,JATISAWIT,57785,
1144,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA TENGAH,LUBUK BESAR,PERLANG,33686,
1145,JAWA TIMUR,KAB. SUMENEP,LENTENG,JAMBU,69461,
1146,JAWA TENGAH,KAB. PURWOREJO,KALIGESING,PUCUNGROTO,54175,
1147,JAWA BARAT,KAB. MAJALENGKA,CIGASONG,TENJOLAYAR,45421,
1148,BANTEN,KAB. PANDEGLANG,MUNJUL,PASANGGRAHAN,42276,
1149,JAWA TENGAH,KAB. BOYOLALI,ANDONG,KEDUNGDOWO,57384,
1150,SULAWESI TENGAH,KAB. BANGGAI,LAMALA,BARUGA,94771,
1151,ACEH,KAB. ACEH BARAT,KAWAY XVI,MEUNASAH BULOH,23681,
1152,SULAWESI SELATAN,KAB. BONE,LIBURENG,TANAH BATUE,92766,
1153,SULAWESI TENGAH,KAB. SIGI,TANAMBULAVA,LAMBARA,94386,
1154,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,NGADU NGALA,KABANDA,87173,
1155,JAWA BARAT,KAB. SUKABUMI,CIREUNGHAS,CIPURUT,43393,
1156,JAMBI,KAB. BUNGO,PELEPAT,DWI KARYA BAKTI,37262,
1157,JAWA TIMUR,KAB. BLITAR,SRENGAT,BAGELENAN,66152,
1158,MALUKU UTARA,KAB. HALMAHERA BARAT,SAHU,GOLO,97753,
1159,KALIMANTAN SELATAN,KAB. BARITO KUALA,BAKUMPAI,BANUA ANYAR,70551,
1160,PAPUA SELATAN,KAB. MERAUKE,KIMAAM,KIMAAM,99655,
1161,KEPULAUAN BANGKA BELITUNG,KAB. BANGKA BARAT,JEBUS,LIMBUNG,33362,
1162,JAMBI,KAB. MERANGIN,TABIR LINTAS,KOTO BARU,37366,
1163,SULAWESI UTARA,KAB. MINAHASA,TONDANO TIMUR,TALER,95611,
1164,KALIMANTAN TENGAH,KAB. KOTAWARINGIN TIMUR,MENTAYA HILIR UTARA,PONDOK DAMAR,74361,
1165,BENGKULU,KAB. BENGKULU SELATAN,PINO,BATU BANDUNG,38571,
1166,SULAWESI UTARA,KAB. MINAHASA UTARA,KAUDITAN,KAWILEY,95372,
1167,SUMATERA UTARA,KAB. TAPANULI SELATAN,BATANG TORU,HUTA GODANG,22738,
1168,JAWA TIMUR,KAB. MALANG,SUMBERMANJING WETAN,DRUJU,65176,
1169,JAWA BARAT,KAB. BANDUNG,KUTAWARINGIN,KOPO,40356,
1170,JAWA BARAT,KAB. BOGOR,LEUWILIANG,LEUWIMEKAR,16648,
1171,SUMATERA UTARA,KAB. BATU BARA,MEDANG DERAS,SEI RAKYAT,21658,
1172,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,DUMOGA TIMUR,PINONOBATUAN,95743,
1173,NUSA TENGGARA BARAT,KAB. LOMBOK TIMUR,SEMBALUN,SEMBALUN LAWANG,83666,
1174,NUSA TENGGARA TIMUR,KAB. NGADA,RIUNG BARAT,BENTENG TAWA I,86473,
1175,RIAU,KAB. INDRAGIRI HILIR,MANDAH,BENTE,29254,
1176,MALUKU,KAB. KEPULAUAN TANIMBAR,WER MAKTIAN,THEMIN,97471,
1177,SUMATERA UTARA,KAB. LABUHANBATU UTARA,NA IX - X,SIMPANG MARBAU,21754,
1178,LAMPUNG,KAB. TULANG BAWANG,MENGGALA TIMUR,KIBANG PACING,34629,
1179,MALUKU UTARA,KOTA TIDORE KEPULAUAN,TIDORE SELATAN,TOLOA,97816,
1180,SULAWESI UTARA,KAB. BOLAANG MONGONDOW,SANG TOMBOLANG,AYONG,95756,
1181,MALUKU UTARA,KAB. HALMAHERA BARAT,JAILOLO,BOBANEHENA,97752,
1182,PAPUA BARAT DAYA,KAB. MANOKWARI,MASNI,UREY,98357,
1183,MALUKU UTARA,KAB. HALMAHERA UTARA,TOBELO SELATAN,LEMAH INO,97768,
1184,PAPUA BARAT DAYA,KAB. MANOKWARI,MASNI,WARIORI,98357,
1185,JAWA BARAT,KOTA SUKABUMI,CIBEUREUM,SINDANGPALAY,43162,
1186,KALIMANTAN TENGAH,KAB. BARITO SELATAN,DUSUN SELATAN,DANAU SADAR,73719,
1187,JAWA TENGAH,KAB. KLATEN,KARANGANOM,KUNDEN,57475,
1188,SULAWESI TENGGARA,KAB. BUTON,KAPONTORI,TODANGA,93755,
1189,JAWA TENGAH,KAB. TEMANGGUNG,TEMBARAK,JRAGAN,56261,
1190,ACEH,KAB. PIDIE JAYA,MEUREUDU,MANYANG CUT,24186,
1191,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,12250,
1192,PAPUA PEGUNUNGAN,KAB. PEGUNUNGAN BINTANG,MOFINOP,YUBU,99576,
1193,SUMATERA SELATAN,KAB. EMPAT LAWANG,TALANG PADANG,ULAK DABUK,31853,
1194,SULAWESI UTARA,KOTA TOMOHON,TOMOHON UTARA,KAKASKASEN TIGA,95417,
1195,JAMBI,KAB. KERINCI,KAYU ARO BARAT,SUNGAIKERING,37165,
1196,JAWA TENGAH,KAB. PEMALANG,COMAL,KLEGEN,52363,
1197,SUMATERA UTARA,KAB. PAKPAK BHARAT,TINADA,MAHALA,22278,
1198,JAWA TENGAH,KAB. DEMAK,KARANGAWEN,BRAMBANG,59566,
1199,ACEH,KAB. PIDIE,PIDIE,TUMPOK LAWEUNG,24151,
1200,SUMATERA UTARA,KAB. NIAS SELATAN,HIBALA,DURU,22882,
1201,SUMATERA UTARA,KAB. MANDAILING NATAL,PAKANTAN,-,-,
1202,ACEH,KAB. ACEH BESAR,LHOONG,GLEE BRUEK,23354,
1203,JAWA BARAT,KAB. GARUT,CARINGIN,CIMAHI,44169,
1204,SUMATERA UTARA,KAB. PADANG LAWAS UTARA,PADANG BOLAK,BOTUNG,22753,
1205,KALIMANTAN BARAT,KAB. SINTANG,SEPAUK,TEMAWANG BULAI,78662,
1206,ACEH,KAB. BIREUEN,GANDAPURA,PAYA KAREUNG,24256,
1207,KALIMANTAN BARAT,KAB. SANGGAU,KAPUAS,TANJUNG SEKAYAM,78515,
1208,SUMATERA UTARA,KAB. PADANG LAWAS,SOSA,SUNGAI JIOR,22765,
1209,SULAWESI BARAT,KAB. POLEWALI MANDAR,CAMPALAGIAN,GATTUNGAN,91353,
1210,JAMBI,KAB. MERANGIN,RENAH PEMBARAP,DURIAN BATAKUK,37362,
1211,NUSA TENGGARA TIMUR,KAB. LEMBATA,WULANDONI,LAMALERA B,86686,
1212,JAWA TIMUR,KAB. KEDIRI,PLOSOKLATEN,WONOREJO TRISULO,64175,
1213,JAWA TIMUR,KAB. LAMONGAN,GLAGAH,TANGGUNGPRIGEL,62292,
1214,SUMATERA UTARA,KAB. DELI SERDANG,KUTALIMBARU,SAMPE CITA,20354,
1215,RIAU,KAB. KAMPAR,TAPUNG HILIR,KIJANG MAKMUR,28466,
1216,JAWA BARAT,KAB. CIANJUR,CIRANJANG,KARANGWANGI,43282,
1217,SULAWESI SELATAN,KAB. LUWU UTARA,BAEBUNTA,BAEBUNTA,92965,
1218,MALUKU,KAB. MALUKU TENGAH,SERAM UTARA TIMUR SETI,NAMTO,97556,
1219,JAWA BARAT,KAB. BEKASI,SERANG BARU,SIRNAJAYA,17335,
1220,JAWA BARAT,KOTA BOGOR,BOGOR TIMUR,KATULAMPA,16144,
1221,JAWA TIMUR,KAB. PASURUAN,SUKOREJO,SUKOREJO,67161,
1222,MALUKU UTARA,KAB. HALMAHERA UTARA,KAO BARAT,GAGA APOK,97767,
1223,SUMATERA UTARA,KAB. TOBA,BONATUA LUNASI,SIBADIHON,22387,
1224,GORONTALO,KAB. BONE BOLANGO,BULANGO UTARA,SUKA DAMAI,96561,
1225,JAWA TIMUR,KAB. NGANJUK,REJOSO,JINTEL,64453,
1226,SUMATERA SELATAN,KAB. OGAN KOMERING ULU TIMUR,BELITANG III,SUMBER REJO,32385,
1227,JAWA TIMUR,KAB. MOJOKERTO,GONDANG,DILEM,61372,
1228,LAMPUNG,KAB. TULANG BAWANG BARAT,TUMIJAJAR,DAYA SAKTI,34492,
1229,SUMATERA UTARA,KOTA TANJUNG BALAI,TELUK NIBUNG,BETING KUALA KAPIAS,21335,
1230,SUMATERA UTARA,KAB. KARO,MERDEKA,SADAPERARIH,22158,
1231,KALIMANTAN BARAT,KAB. SAMBAS,SAMBAS,TANJUNG BUGIS,79411,
1232,NUSA TENGGARA BARAT,KAB. LOMBOK BARAT,LABUAPI,PERAMPUAN,83361,
1233,SUMATERA UTARA,KAB. NIAS UTARA,AFULU,LAURU LAHEWA,22857,
1234,SULAWESI TENGAH,KAB. TOJO UNA UNA,TOJO,DATARAN BUGI,94681,
1235,JAWA BARAT,KAB. CIREBON,TENGAH TANI,ASTAPADA,45642,
1236,KEPULAUAN RIAU,KAB. NATUNA,SERASAN TIMUR,ARUNG AYAM,29785,
1237,JAWA TENGAH,KAB. KLATEN,KALIKOTES,KALIKOTES,57451,
1238,GORONTALO,KAB. GORONTALO,TABONGO,LIMEHU,96279,
1239,NUSA TENGGARA BARAT,KAB. DOMPU,DOMPU,MBAWI,84217,
1240,SUMATERA UTARA,KAB. TOBA,ULUAN,PARIK,22385,
1241,JAWA TIMUR,KAB. TRENGGALEK,TUGU,PRAMBON,66352,
1242,LAMPUNG,KAB. LAMPUNG TIMUR,PEKALONGAN,KALIBENING,34391,
1243,SULAWESI SELATAN,KAB. PANGKAJENE KEPULAUAN,BUNGORO,TABO TABO,90651,
1244,DAERAH ISTIMEWA YOGYAKARTA,KAB. GUNUNGKIDUL,NGAWEN,BEJI,55853,
1245,KALIMANTAN BARAT,KAB. KAPUAS HULU,BOYAN TANJUNG,NANGA BETUNG,78758,
1246,BENGKULU,KOTA BENGKULU,RATU AGUNG,NUSA INDAH,38242,
1247,SUMATERA SELATAN,KAB. MUSI RAWAS,MUARA BELITI,MANA RESMI,31661,
1248,SUMATERA SELATAN,KAB. BANYUASIN,SEMBAWA,LALANG SEMBAWA,30953,
1249,JAWA TENGAH,KAB. BANYUMAS,KEDUNGBANTENG,KUTALIMAN,53152,
1250,ACEH,KAB. ACEH TENGGARA,SEMADAM,KEBUN SERE,24675,
1251,JAWA TENGAH,KAB. MAGELANG,NGLUWAR,JAMUSKAUMAN,56585,
1252,SUMATERA UTARA,KAB. MANDAILING NATAL,PANYABUNGAN,KOTA SIANTAR,22919,
1253,SULAWESI TENGAH,KAB. POSO,PAMONA TIMUR,TIU,94668,
1254,JAWA BARAT,KAB. GARUT,PASIRWANGI,PASIRKIAMIS,44154,
1255,SUMATERA UTARA,KAB. TAPANULI SELATAN,SIPIROK,SIPIROK GODANG,22742,
1256,JAWA TENGAH,KAB. WONOGIRI,BATURETNO,WATUAGUNG,57673,
1257,JAWA TENGAH,KAB. CILACAP,KESUGIHAN,PLANJAN,53274,
1258,JAWA TENGAH,KAB. MAGELANG,PAKIS,PETUNG,56593,
1259,ACEH,KAB. NAGAN RAYA,SEUNAGAN TIMUR,UTEUN PULO,23673,
1260,KALIMANTAN BARAT,KAB. KAPUAS HULU,MENTEBAH,TANJUNG INTAN,78757,
1261,JAMBI,KAB. SAROLANGUN,SAROLANGUN,BARU,37419,
1262,ACEH,KAB. BIREUEN,JULI,JULI MEUNASAH JOK,24252,
1263,SUMATERA UTARA,KAB. MANDAILING NATAL,BATANG NATAL,TARLOLA,22983,
1264,ACEH,KAB. NAGAN RAYA,SEUNAGAN,BANTAN,23671,
1265,SUMATERA SELATAN,KAB. OGAN KOMERING ULU,PENINJAUAN,MAKARTITAMA,32191,
1266,RIAU,KAB. KUANTAN SINGINGI,KUANTAN HILIR,PULAU KIJANG,29561,
1267,SULAWESI TENGGARA,KAB. KOLAKA UTARA,BATU PUTIH,LELEWAWO,93955,
1268,JAWA TENGAH,KAB. PEMALANG,BANTARBOLANG,SARWODADI,52352,
1269,JAMBI,KAB. TANJUNG JABUNG TIMUR,NIPAH PANJANG,PEMUSIRAN,36771,
1270,ACEH,KAB. ACEH BARAT,MEUREUBO,BULOH,23687,
1271,SUMATERA UTARA,KAB. TAPANULI TENGAH,SUKA BANGUN,TEBING TINGGI,22655,
1272,KALIMANTAN SELATAN,KOTA BANJARMASIN,BANJARMASIN UTARA,ALALAK UTARA,70125,
1273,JAWA TIMUR,KAB. MAGETAN,PANEKAN,JABUNG,63352,
1274,PAPUA,KAB. KEPULAUAN YAPEN,PULAU KURUDU,KURUDU,98252,
1275,JAWA TIMUR,KAB. TUBAN,BANGILAN,KUMPULREJO,62364,
1276,JAWA TIMUR,KAB. BOJONEGORO,NGRAHO,BLIMBINGGEDE,62165,
1277,BANTEN,KAB. PANDEGLANG,PANDEGLANG,KADOMAS,42218,
1278,NUSA TENGGARA TIMUR,KAB. ENDE,WOLOWARU,WOLOKOLI,86372,
1279,SUMATERA UTARA,KAB. SERDANG BEDAGAI,SERBA JADI,PULAU TAGOR,20985,
1280,RIAU,KAB. KUANTAN SINGINGI,SINGINGI HILIR,BERINGIN JAYA,29567,
1281,ACEH,KAB. PIDIE,TANGSE,LAYAN,24166,
1282,JAWA BARAT,KAB. PURWAKARTA,BABAKANCIKAO,CICADAS,41151,
1283,ACEH,KAB. ACEH TIMUR,MADAT,MATANG JROK,24459,
1284,PAPUA BARAT DAYA,KAB. TELUK BINTUNI,SUMURI,TOFOI,98572,
1285,JAWA BARAT,KAB. SUKABUMI,KADUDAMPIT,SUKAMAJU,43343,
1286,BANTEN,KAB. SERANG,CINANGKA,SINDANG LAYA,42167,
1287,JAWA TENGAH,KAB. MAGELANG,KALIANGKRIK,NGARGOSOKO,56564,
1288,PAPUA SELATAN,KAB. ASMAT,SURU-SURU,HULAM,99778,
1289,PAPUA,KOTA JAYAPURA,HERAM,YABANSAI,99143,
1290,KALIMANTAN SELATAN,KAB. BALANGAN,LAMPIHONG,TANAH HABANG KANAN,71661,
1291,BENGKULU,KAB. KAUR,LUNGKANG KULE,SINAR BULAN,38958,
1292,MALUKU,KAB. MALUKU BARAT DAYA,MNDONA HIERA,BATUGAJAH,97452,
1293,SULAWESI TENGAH,KAB. MOROWALI UTARA,PETASIA TIMUR,KEUNO,94971,
1294,JAWA BARAT,KOTA BANDUNG,CINAMBO,SUKAMULYA,40294,
1295,NUSA TENGGARA TIMUR,KAB. SUMBA TIMUR,TABUNDUNG,WAIKANABU,87161,
1296,JAWA TENGAH,KAB. PURWOREJO,LOANO,KALIGLAGAH,54181,
1297,JAWA TENGAH,KAB. MAGELANG,SALAMAN,NGADIREJO,56562,
1298,BANTEN,KAB. TANGERANG,RAJEG,SUKATANI,15544,
1299,JAWA TIMUR,KAB. LAMONGAN,PUCUK,KESAMBI,62257,
1300,JAWA TIMUR,KAB. TUBAN,PARENGAN,KUMPULREJO,62366,
1301,SULAWESI TENGAH,KAB. BANGGAI,BALANTAK UTARA,-,-,
1302,KALIMANTAN BARAT,KAB. MEMPAWAH,SUNGAI KUNYIT,SEMUDUN,78971,
1303,NUSA TENGGARA TIMUR,KAB. FLORES TIMUR,ADONARA TENGAH,WEWIT,86264,
1304,SUMATERA UTARA,KAB. SIMALUNGUN,GUNUNG MALIGAS,RABUHIT,21194,
1305,PAPUA BARAT DAYA,KAB. KAIMANA,TELUK ARGUNI ATAS,SAWATEWERA,98673,
1306,KALIMANTAN TENGAH,KAB. LAMANDAU,BULIK TIMUR,NANGA KORING,74667,
1307,KALIMANTAN BARAT,KAB. SAMBAS,TELUK KERAMAT,PEDADA,79465,
1308,JAWA TIMUR,KAB. NGAWI,WIDODAREN,KAYUTREJO,63256,
1309,ACEH,KAB. ACEH BESAR,BLANG BINTANG,TEUPIN BATEE,23368,
1310,SULAWESI SELATAN,KAB. JENEPONTO,TAMALATEA,TONRO KASSI,92351,
1311,JAWA BARAT,KAB. KARAWANG,TEGALWARU,WARGASETRA,41364,
1312,JAWA TENGAH,KAB. BOYOLALI,SIMO,KEDUNGLENGKONG,57377,
1313,KALIMANTAN BARAT,KOTA PONTIANAK,PONTIANAK SELATAN,AKCAYA,78121,
1314,ACEH,KAB. BIREUEN,JANGKA,JANGKA ALUE,24258,
1315,PAPUA BARAT DAYA,KAB. MANOKWARI SELATAN,ORANSBARI,WANDOKI,98353,
1316,JAWA TIMUR,KAB. PROBOLINGGO,PAKUNIRAN,BIMO,67292,
1317,JAWA TENGAH,KAB. TEMANGGUNG,TEMANGGUNG,SIDOREJO,56219,
1318,RIAU,KAB. PELALAWAN,KUALA KAMPAR,TELUK BAKAU,28384,
1319,JAWA TIMUR,KAB. LAMONGAN,SAMBENG,NOGOJATISARI,62284,
1320,SUMATERA UTARA,KOTA GUNUNGSITOLI,GUNUNGSITOLI IDANOI,DAHANA,22825,
1321,ACEH,KAB. ACEH UTARA,TANAH LUAS,TEUNGOH PULO AGAM,24385,
1322,PAPUA PEGUNUNGAN,KAB. YAHUKIMO,SUMO,SUMO,99095,
1323,BANTEN,KAB. LEBAK,CIMARGA,MEKARJAYA,42361,
1324,SULAWESI UTARA,KAB. BOLAANG MONGONDOW TIMUR,TUTUYAN,KAYUMOYONDI,95783,
1325,SULAWESI TENGAH,KAB. TOJO UNA UNA,TOGEAN,LEMBANATO,94694,
1326,SULAWESI SELATAN,KAB. LUWU UTARA,TANA LILI,KARONDANG,92967,
1327,SUMATERA UTARA,KAB. DELI SERDANG,SIBOLANGIT,MARTELU,20357,
1328,JAWA TENGAH,KAB. DEMAK,MRANGGEN,BATURSARI,59567,
1329,SUMATERA SELATAN,KAB. OGAN KOMERING ULU SELATAN,MUARA DUA KISAM,LAWANG AGUNG,32272,
1330,ACEH,KAB. ACEH TENGGARA,LAWE SIGALA-GALA,LAWE LONING AMAN,24673,
1331,LAMPUNG,KAB. LAMPUNG SELATAN,KALIANDA,PEMATANG,35519,
1332,KALIMANTAN BARAT,KAB. BENGKAYANG,TERIAK,LULANG,79275,
1333,GORONTALO,KOTA GORONTALO,DUMBO RAYA,BOTU,96168,
1334,JAWA TIMUR,KAB. BOJONEGORO,KEDUNGADEM,NGRANDU,62195,
1335,JAWA TIMUR,KAB. PASURUAN,PASREPAN,PETUNG,67175,
1336,ACEH,KAB. ACEH SINGKIL,SIMPANG KANAN,KUTA KERANGAN,24783,
1337,JAWA TIMUR,KAB. NGAWI,BRINGIN,BRINGIN,63285,
1338,NUSA TENGGARA TIMUR,KAB. ALOR,ALOR BARAT DAYA,PINTUMAS,85861,
1339,JAWA TENGAH,KAB. PATI,MARGOREJO,MARGOREJO,59163,
1340,RIAU,KAB. PELALAWAN,BUNUT,BAGAN LABAH,28383,
1341,SUMATERA SELATAN,KAB. MUARA ENIM,LAWANG KIDUL,LINGGA,31359,
1342,KALIMANTAN TENGAH,KAB. MURUNG RAYA,BARITO TUHUP RAYA,LIANG NYALING,73992,
1343,NUSA TENGGARA TIMUR,KAB. MANGGARAI,SATAR MESE,PONGKOR,86561,
1344,ACEH,KAB. ACEH SELATAN,KLUET TENGAH,KAMPUNG SAWAH,23756,
1345,LAMPUNG,KAB. LAMPUNG SELATAN,RAJA BASA,KUNJIR,35594,
1346,JAWA BARAT,KAB. TASIKMALAYA,BOJONGGAMBIR,WANDASARI,46475,
1347,BANTEN,KAB. SERANG,CIRUAS,BEBERAN,42182,
1348,ACEH,KAB. ACEH TENGGARA,LEUSER,NAGA TIMBUL,24664,
1349,LAMPUNG,KAB. PESAWARAN,TEGINENENG,GERNING,35363,
1350,SULAWESI SELATAN,KAB. TORAJA UTARA,TALLUNGLIPU,TANTANAN TALLUNGLIPU,91832,
1351,PAPUA TENGAH,KAB. PUNCAK JAYA,ILU,KIRIGIMADUK,98975,
1352,MALUKU UTARA,KAB. HALMAHERA TIMUR,WASILE TIMUR,DODAGA,97865,
1353,JAWA TIMUR,KAB. TRENGGALEK,SURUH,NGRANDU,66366,
1354,SUMATERA UTARA,KAB. HUMBANG HASUNDUTAN,PARLILITAN,SIONOM HUDON TIMUR,22456,
1355,JAMBI,KAB. TEBO,TEBO TENGAH,BEDARO RAMPAK,37519,
1356,ACEH,KAB. GAYO LUES,PUTERI BETUNG,PUTRI BETUNG,24683,
1357,JAWA TIMUR,KAB. MALANG,NGAJUM,NGASEM,65164,
1358,BENGKULU,KAB. BENGKULU SELATAN,SEGINIM,PADANG SIRING,38552,
1359,KALIMANTAN SELATAN,KAB. HULU SUNGAI SELATAN,KANDANGAN,AMAWANG KANAN,71212,
1360,JAWA TIMUR,KAB. NGANJUK,NGANJUK,WERUNGOTOK,64412,
1361,JAWA TIMUR,KAB. JOMBANG,PLOSO,LOSARI,61453,
1362,JAWA BARAT,KAB. BANDUNG BARAT,CILILIN,KIDANGPANANJUNG,40762,
